%
@relation 'Seguradorat'
@attribute sexo {F,M}
@attribute faixa_etaria {<25,25-30,31-40,>40}
@attribute acidente {Sim,Nao}
@data
F,>40,Nao
M,<25,Sim
F,<25,Sim
F,31-40,Nao
M,25-30,Sim
F,25-30,Nao
M,31-40,Nao
M,>40,Nao
M,<25,Sim
M,<25,Sim
M,>40,Nao
F,31-40,Nao
M,25-30,Sim
M,25-30,Sim
F,<25,Nao
M,25-30,Sim
M,25-30,Sim
F,25-30,Nao
F,31-40,Sim
F,25-30,Nao
F,25-30,Nao
M,31-40,Nao
M,31-40,Sim
F,>40,Nao
M,<25,Sim
F,<25,Sim
F,31-40,Nao
M,25-30,Sim
F,25-30,Nao
M,31-40,Nao
M,>40,Nao
M,<25,Sim
M,<25,Sim
M,>40,Nao
F,31-40,Nao
M,25-30,Sim
M,25-30,Sim
F,<25,Nao
M,25-30,Sim
M,25-30,Sim
F,25-30,Nao
F,31-40,Sim
F,25-30,Nao
F,25-30,Nao
M,31-40,Nao
M,31-40,Sim
F,>40,Nao
M,<25,Sim
F,<25,Sim
F,31-40,Nao
M,25-30,Sim
F,25-30,Nao
M,31-40,Nao
M,>40,Nao
M,<25,Sim
M,<25,Sim
M,>40,Nao
F,31-40,Nao
M,25-30,Sim
M,25-30,Sim
F,<25,Nao
M,25-30,Sim
M,25-30,Sim
F,25-30,Nao
F,31-40,Sim
F,25-30,Nao
F,25-30,Nao
M,31-40,Nao
M,31-40,Sim
F,>40,Nao
M,<25,Sim
F,<25,Sim
F,31-40,Nao
M,25-30,Sim
F,25-30,Nao
M,31-40,Nao
M,>40,Nao
M,<25,Sim
M,<25,Sim
M,>40,Nao
F,31-40,Nao
M,25-30,Sim
M,25-30,Sim
F,<25,Nao
M,25-30,Sim
M,25-30,Sim
F,25-30,Nao
F,31-40,Sim
F,25-30,Nao
F,25-30,Nao
M,31-40,Nao
M,31-40,Sim
F,>40,Nao
M,<25,Sim
F,<25,Sim
F,31-40,Nao
M,25-30,Sim
F,25-30,Nao
M,31-40,Nao
M,>40,Nao
M,<25,Sim
M,<25,Sim
M,>40,Nao
F,31-40,Nao
M,25-30,Sim
M,25-30,Sim
F,<25,Nao
M,25-30,Sim
M,25-30,Sim
F,25-30,Nao
F,31-40,Sim
F,25-30,Nao
F,25-30,Nao
M,31-40,Nao
M,31-40,Sim
F,>40,Nao
M,<25,Sim
F,<25,Sim
F,31-40,Nao
M,25-30,Sim
F,25-30,Nao
M,31-40,Nao
M,>40,Nao
M,<25,Sim
M,<25,Sim
M,>40,Nao
F,31-40,Nao
M,25-30,Sim
M,25-30,Sim
F,<25,Nao
M,25-30,Sim
M,25-30,Sim
F,25-30,Nao
F,31-40,Sim
F,25-30,Nao
F,25-30,Nao
M,31-40,Nao
M,31-40,Sim
