@relation custofazenda
@attribute 'Ref_Date'	 {'01','02','03','04'}
@attribute 'GEO'  {'Nova Scotia','Western Canada','Manitoba','Canada','Ontario','Quebec','Eastern Canada','Prince Edward Island','Newfoundland and Labrador','New Brunswick','Alberta','British Columbia','Saskatchewan'}
@attribute 'custo'  {'Other fertilizers','Depreciation on machinery and motor vehicles','Farm input total','Machine repairs','Machinery fuel','General business costs', 'Poultry','Grain feed','Cash wages in Crop production','Crop production','Fertilizer','Prepared feed','Animalrelated custom work','Machinery and motor vehicles','Depreciation on machinery','Commercial seed and plant','Depreciation on motor vehicles','Pesticides','Production insurance','Cash wages in animal production','Stabilization premiums','Croprelated custom work','Nitrogen fertilizers','Twine wire and containers','Commercial feed','Veterinary fees and drugs','Livestock purchases','Cattle','Buldings','Animal production','Hogs'}
@data
'01','Canada','Crop production'
'02','Canada','Crop production'
'03','Canada','Crop production'
'04','Canada','Crop production'
'01','Canada','Crop production'
'02','Canada','Crop production'
'03','Canada','Crop production'
'04','Canada','Crop production'
'01','Canada','Crop production'
'02','Canada','Crop production'
'03','Canada','Crop production'
'04','Canada','Crop production'
'01','Canada','Commercial seed and plant'
'02','Canada','Commercial seed and plant'
'03','Canada','Commercial seed and plant'
'04','Canada','Commercial seed and plant'
'01','Canada','Commercial seed and plant'
'02','Canada','Commercial seed and plant'
'03','Canada','Commercial seed and plant'
'04','Canada','Commercial seed and plant'
'01','Canada','Commercial seed and plant'
'02','Canada','Commercial seed and plant'
'03','Canada','Commercial seed and plant'
'04','Canada','Commercial seed and plant'
'01','Canada','Commercial seed and plant'
'02','Canada','Commercial seed and plant'
'03','Canada','Commercial seed and plant'
'04','Canada','Commercial seed and plant'
'01','Canada','Commercial seed and plant'
'02','Canada','Commercial seed and plant'
'03','Canada','Commercial seed and plant'
'04','Canada','Commercial seed and plant'
'01','Canada','Commercial seed and plant'
'02','Canada','Commercial seed and plant'
'03','Canada','Commercial seed and plant'
'04','Canada','Commercial seed and plant'
'01','Canada','Commercial seed and plant'
'02','Canada','Commercial seed and plant'
'03','Canada','Commercial seed and plant'
'04','Canada','Commercial seed and plant'
'01','Canada','Commercial seed and plant'
'02','Canada','Commercial seed and plant'
'03','Canada','Commercial seed and plant'
'04','Canada','Commercial seed and plant'
'01','Canada','Commercial seed and plant'
'02','Canada','Commercial seed and plant'
'03','Canada','Commercial seed and plant'
'04','Canada','Commercial seed and plant'
'01','Canada','Commercial seed and plant'
'02','Canada','Commercial seed and plant'
'03','Canada','Commercial seed and plant'
'04','Canada','Commercial seed and plant'
'01','Canada','Commercial seed and plant'
'02','Canada','Commercial seed and plant'
'03','Canada','Commercial seed and plant'
'04','Canada','Commercial seed and plant'
'01','Canada','Fertilizer'
'02','Canada','Fertilizer'
'03','Canada','Fertilizer'
'04','Canada','Fertilizer'
'01','Canada','Fertilizer'
'02','Canada','Fertilizer'
'03','Canada','Fertilizer'
'04','Canada','Fertilizer'
'01','Canada','Fertilizer'
'02','Canada','Fertilizer'
'03','Canada','Fertilizer'
'04','Canada','Fertilizer'
'01','Canada','Fertilizer'
'02','Canada','Fertilizer'
'03','Canada','Fertilizer'
'04','Canada','Fertilizer'
'01','Canada','Fertilizer'
'02','Canada','Fertilizer'
'03','Canada','Fertilizer'
'04','Canada','Fertilizer'
'01','Canada','Fertilizer'
'02','Canada','Fertilizer'
'03','Canada','Fertilizer'
'04','Canada','Fertilizer'
'01','Canada','Fertilizer'
'02','Canada','Fertilizer'
'03','Canada','Fertilizer'
'04','Canada','Fertilizer'
'01','Canada','Fertilizer'
'02','Canada','Fertilizer'
'03','Canada','Fertilizer'
'04','Canada','Fertilizer'
