%
@relation 'MegaSena'
@attribute Concurso real
@attribute DataSorteio real
@attribute 1Dezena real
@attribute 2Dezena real
@attribute 3Dezena real
@attribute 4Dezena real
@attribute 5Dezena real
@attribute 6Dezena real
@attribute ArrecadacaoTotal real
@attribute GanhadoresSena real
@attribute RateioSena real
@attribute GanhadoresQuina real
@attribute RateioQuina real
@attribute GanhadoresQuadra real
@attribute RateioQuadra real
@attribute Acumulado {SIM, NAO}
@attribute ValorAcumulado real
@attribute EstimativaPremio real
@attribute AcumuladoMegadaVirada real
@data
1,11031996,41,5,4,52,30,33,0,0,0,17,39158.92,2016,330.21,SIM,1714650.23,0,0
2,18031996,9,39,37,49,43,41,0,1,2307162.23,65,14424.02,4488,208.91,NAO,0,0,0
3,25031996,36,30,10,11,29,47,0,2,391192.51,62,10515.93,4261,153.01,NAO,0,0,0
4,01041996,6,59,42,27,1,5,0,0,0,39,15322.24,3311,180.48,SIM,717080.75,0,0
5,08041996,1,19,46,6,16,2,0,0,0,98,5318.10,5399,96.53,SIM,1342488.85,0,0
6,15041996,19,40,7,13,22,47,0,0,0,109,7214.66,7147,110.03,SIM,2286166.33,0,0
7,22041996,56,38,21,20,3,5,0,0,0,100,8746.05,5736,152.48,SIM,3335692.28,0,0
8,29041996,53,17,38,4,47,37,0,0,0,60,16084.11,5262,183.4,SIM,4493748.19,0,0
9,06051996,55,43,56,54,8,60,0,0,0,17,60043.79,2175,469.31,SIM,5718641.49,0,0
10,13051996,25,4,18,57,21,38,0,0,0,251,6638.45,12590,132.35,SIM,13334769.81,0,0
11,20051996,25,15,58,37,59,38,0,1,15591365.07,148,12706.05,9442,199.16,NAO,0,0,0
12,27051996,20,27,43,16,19,4,0,0,0,108,6791.17,6454,113.64,SIM,880136.24,0,0
13,03061996,47,32,50,54,18,56,0,0,0,43,20543.98,2934,301.09,SIM,1940205.35,0,0
14,10061996,16,2,27,47,23,53,0,0,0,85,10458.19,5323,167,SIM,3006941.32,0,0
15,17061996,60,12,33,52,35,51,0,0,0,57,17919.89,3931,259.84,SIM,4232661.35,0,0
16,24061996,60,58,49,32,20,34,0,0,0,31,33307.13,3250,317.7,SIM,5471686.62,0,0
17,01071996,10,20,6,19,51,13,0,1,6789869.08,144,7628.37,9376,117.16,NAO,0,0,0
18,08071996,37,36,56,27,42,23,0,0,0,52,13763.52,4484,159.61,SIM,858843.48,0,0
19,15071996,5,25,12,10,60,24,0,0,0,159,5380.14,9250,92.48,SIM,10506266.73,0,0
20,22071996,25,28,30,33,51,11,0,0,0,72,15486.97,5728,194.67,SIM,11844340.83,0,0
21,29071996,49,46,6,53,33,36,0,0,0,63,17694.19,5030,221.62,SIM,13182021.44,0,0
22,05081996,9,38,56,1,31,46,0,0,0,47,27212.90,4865,262.9,SIM,14716828.84,0,0
23,12081996,17,52,51,59,39,37,0,0,0,74,20198.46,4897,305.23,SIM,16510452.00,0,0
24,19081996,1,8,14,28,33,43,0,1,18661679.61,227,7897.31,13486,132.93,NAO,0,0,0
25,25081996,56,50,55,54,24,43,0,0,0,28,26338.50,2741,269.06,SIM,884973.50,0,0
26,01091996,50,53,57,10,58,22,0,0,0,16,52473.74,1823,460.55,SIM,1892469.30,0,0
27,08091996,44,33,13,51,17,20,0,0,0,99,9306.24,6466,142.49,SIM,2998050.68,0,0
28,15091996,60,6,22,3,24,54,0,0,0,50,19749.22,4895,201.73,SIM,4183003.48,0,0
29,22091996,14,56,58,8,43,3,0,1,5401793.60,44,23083.15,5248,193.53,NAO,0,0,0
30,29091996,38,50,7,29,15,14,0,0,0,80,11347.74,5885,154.26,SIM,10127520.80,0,0
31,06101996,56,19,28,48,17,45,0,0,0,103,8793.04,5680,159.45,SIM,11214340.46,0,0
32,13101996,43,33,14,36,5,44,0,0,0,96,11430.91,6876,159.6,SIM,12531181.83,0,0
33,20101996,5,33,49,17,42,39,0,1,13997410.74,128,9545.76,8722,140.09,NAO,0,0,0
34,27101996,15,13,57,53,40,17,0,0,0,51,13604.06,2627,264.11,SIM,832568.20,0,0
35,03111996,21,57,16,23,54,4,0,0,0,39,20051.18,3576,218.68,SIM,1770963.49,0,0
36,10111996,13,3,51,17,29,25,0,0,0,143,6238.12,8548,104.36,SIM,2841425.78,0,0
37,17111996,22,6,7,52,38,60,0,0,0,47,16848.61,3695,214.32,SIM,3791687.26,0,0
38,24111996,55,42,10,43,45,54,0,0,0,24,38863.10,1999,466.59,SIM,4910944.53,0,0
39,01121996,16,37,45,52,56,12,0,0,0,73,13459.05,4444,221.09,SIM,13456111.33,0,0
40,08121996,3,12,46,5,47,8,0,0,0,189,7789.93,12117,121.51,SIM,15222867.04,0,0
41,15121996,38,26,35,39,12,47,0,1,17019238.50,148,10114.70,10182,147.03,NAO,0,0,0
42,22121996,24,36,19,33,7,11,0,0,0,201,3684.64,9580,77.31,SIM,888735.02,0,0
43,29121996,2,58,25,6,26,17,0,0,0,75,9738.03,5070,144.06,SIM,1765157.22,0,0
44,05011997,47,38,18,14,29,44,0,0,0,103,7099.32,7742,94.45,SIM,2642633.14,0,0
45,12011997,30,7,37,55,44,53,0,0,0,33,27201.47,3004,298.82,SIM,3719811.46,0,0
46,19011997,32,46,1,60,24,23,0,0,0,91,9982.42,6263,145.04,SIM,4809891.56,0,0
47,26011997,35,17,3,48,25,56,0,0,0,210,4458.44,10873,85.94,SIM,5933418.51,0,0
48,02021997,47,5,34,28,2,50,0,0,0,132,7482.95,7454,132.25,SIM,7118717.38,0,0
49,09021997,33,7,43,35,13,55,0,1,8405156.76,155,6916.34,9830,108.85,NAO,0,0,0
50,16021997,57,44,21,16,58,6,0,0,0,31,25241.25,2800,278.91,SIM,8917830.39,0,0
51,23021997,23,24,42,25,17,47,0,0,0,143,7231.47,9361,110.25,SIM,10158749.73,0,0
52,02031997,58,15,59,30,38,46,0,0,0,77,15544.23,6442,185.43,SIM,11595036.71,0,0
53,09031997,42,13,3,46,38,16,0,0,0,210,6337.79,10941,121.41,SIM,13192159.46,0,0
54,16031997,5,21,9,56,18,36,0,2,7469653.99,207,7033.61,13067,111.2,NAO,0,0,0
55,23031997,29,2,14,38,23,52,0,0,0,66,10817.63,3840,185.56,SIM,856756.39,0,0
56,30031997,51,35,59,7,20,2,0,0,0,48,12142.20,2599,223.81,SIM,1556147.46,0,0
57,06041997,27,17,16,34,7,59,0,0,0,79,10699.10,6173,136.65,SIM,2570421.80,0,0
58,13041997,30,49,27,37,12,44,0,1,3631304.91,65,13601.07,5040,175.06,NAO,0,0,0
59,20041997,28,13,34,2,8,54,0,0,0,90,7312.34,5351,122.75,SIM,789733.42,0,0
60,27041997,38,14,21,15,3,20,0,0,0,129,7111.47,7914,115.69,SIM,9478249.26,0,0
61,04051997,59,8,18,29,42,44,0,0,0,52,18902.94,3866,253.76,SIM,10657792.45,0,0
62,11051997,52,13,6,24,8,31,0,0,0,119,9968.70,8613,137.46,SIM,12081323.45,0,0
63,18051997,26,9,41,49,25,40,0,1,13680019.57,82,16246.91,6359,209.1,NAO,0,0,0
64,25051997,8,54,50,60,23,12,0,0,0,29,23309.96,2441,276.38,SIM,811186.58,0,0
65,01061997,20,1,5,32,25,34,0,0,0,61,11542.37,4932,142.48,SIM,1656088.09,0,0
66,08061997,15,26,12,33,48,13,0,0,0,102,8054.25,7686,106.68,SIM,2641927.81,0,0
67,15061997,47,14,27,52,17,12,0,0,0,83,10617.25,5479,160.52,SIM,3699406.44,0,0
68,22061997,53,13,3,1,12,59,0,0,0,49,18496.73,4758,190.11,SIM,4787014.46,0,0
69,29061997,56,58,34,53,25,45,0,0,0,55,17271.48,3661,258.96,SIM,5926931.93,0,0
70,06071997,40,17,23,43,27,58,0,0,0,95,12899.52,6071,201.46,SIM,14883849.29,0,0
71,13071997,53,16,45,43,33,27,0,0,0,115,12451.74,7430,192.35,SIM,16602188.45,0,0
72,20071997,19,48,43,1,34,44,0,0,0,85,19676.33,7982,209.13,SIM,18609174.26,0,0
73,27071997,57,25,45,28,51,26,0,1,21026575.40,95,21205.27,8222,244.52,NAO,0,0,0
74,03081997,2,24,34,50,38,37,0,0,0,40,18257.68,3321,219.48,SIM,876368.71,0,0
75,10081997,36,49,37,35,24,21,0,0,0,70,12395.02,5032,172.09,SIM,1917550.02,0,0
76,17081997,33,18,23,8,17,53,0,0,0,92,10247.61,6399,147.04,SIM,3048886.14,0,0
77,24081997,29,54,40,57,49,21,0,0,0,20,49648.81,2635,376.09,SIM,4240457.60,0,0
78,31081997,22,32,46,12,25,31,0,0,0,103,9907.36,5984,170.19,SIM,5465006.39,0,0
79,07091997,43,25,2,13,31,17,0,1,6770601.75,247,4404.85,13375,81.18,NAO,0,0,0
80,14091997,51,40,37,23,48,28,0,0,0,43,26443.00,4284,264.89,SIM,10953707.53,0,0
